asset_id,day,date,weekday,channel_label,account,account_status,owner,support_owner,publish_at,production_deadline,review_at,title,asset_required,asset_status,metric_target,primary_conversion,status,landing_url
day11_douyin,11,2026-06-11,周四,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-11T19:30,2026-06-11T13:30,2026-06-12T19:30,你缺的不是目标，是见证,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day11_douyin
day12_digital_human,12,2026-06-12,周五,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-12T12:20,2026-06-12T06:20,2026-06-13T12:20,数字人导师：把目标切到无法推脱,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day12_digital_human
day13_xiaohongshu,13,2026-06-13,周六,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-13T21:30,2026-06-13T15:30,2026-06-14T21:30,100门课程怎么学：不要从感兴趣开始，从最痛的地方开始,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day13_xiaohongshu
day14_douyin,14,2026-06-14,周日,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-14T19:30,2026-06-14T13:30,2026-06-15T19:30,3句话拆掉拖延的伪装,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day14_douyin
day15_digital_human,15,2026-06-15,周一,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-15T12:20,2026-06-15T06:20,2026-06-16T12:20,数字人导师：关系里的窄门,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day15_digital_human
day16_xiaohongshu,16,2026-06-16,周二,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-16T21:30,2026-06-16T15:30,2026-06-17T21:30,别再问怎么坚持，先问你为什么总想逃,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day16_xiaohongshu
day17_douyin,17,2026-06-17,周三,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-17T19:30,2026-06-17T13:30,2026-06-18T19:30,为什么你听了很多课，还是没有变,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day17_douyin
day18_digital_human,18,2026-06-18,周四,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-18T12:20,2026-06-18T06:20,2026-06-19T12:20,数字人导师：事业里的窄门,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day18_digital_human
day19_xiaohongshu,19,2026-06-19,周五,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-19T21:30,2026-06-19T15:30,2026-06-20T21:30,写给总是自我怀疑的人：你需要的不是更多肯定,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day19_xiaohongshu
day20_douyin,20,2026-06-20,周六,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-20T19:30,2026-06-20T13:30,2026-06-21T19:30,今天别立Flag，立证据,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day20_douyin
day21_digital_human,21,2026-06-21,周日,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-21T12:20,2026-06-21T06:20,2026-06-22T12:20,数字人导师：你不是情绪太多，是语言太少,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day21_digital_human
day22_xiaohongshu,22,2026-06-22,周一,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-22T21:30,2026-06-22T15:30,2026-06-23T21:30,窄门商业合作：给机构一套能落地的AI成长助教,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day22_xiaohongshu
day23_douyin,23,2026-06-23,周二,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-23T19:30,2026-06-23T13:30,2026-06-24T19:30,给培训机构的一句话,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day23_douyin
day24_digital_human,24,2026-06-24,周三,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-24T12:20,2026-06-24T06:20,2026-06-25T12:20,数字人机构版口播,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day24_digital_human
day25_xiaohongshu,25,2026-06-25,周四,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-25T21:30,2026-06-25T15:30,2026-06-26T21:30,我用4步复盘一次失败：不再自责，而是升级系统,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day25_xiaohongshu
day26_douyin,26,2026-06-26,周五,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-26T19:30,2026-06-26T13:30,2026-06-27T19:30,你不是玻璃心，你缺少复盘结构,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day26_douyin
day27_digital_human,27,2026-06-27,周六,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-27T12:20,2026-06-27T06:20,2026-06-28T12:20,数字人导师：给旧自己的告别,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day27_digital_human
day28_xiaohongshu,28,2026-06-28,周日,小红书,小红书｜窄门 NarrowGate（待绑定）,needs_binding,内容运营,设计/长图,2026-06-28T21:30,2026-06-28T15:30,2026-06-29T21:30,30天窄门训练最终不是为了变强，而是变真,封面图；长图正文；首评引导；UTM链接,copy_ready_visual_pending,收藏率>6%，评论>=8，官网点击>=20,评论/私信进入灵魂审计,scheduled,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day28_xiaohongshu
day29_douyin,29,2026-06-29,周一,抖音,抖音｜窄门 NarrowGate（待绑定）,needs_binding,短视频运营,剪辑/字幕,2026-06-29T19:30,2026-06-29T13:30,2026-06-30T19:30,如果你只能问自己一个问题,9:16视频；强钩子字幕；封面标题；置顶评论,script_ready_video_pending,3秒留存>55%，评论>=10，主页点击>=25,评论区互动进入主页链接,scheduled,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day29_douyin
day30_digital_human,30,2026-06-30,周二,数字人,数字人｜窄门导师（待绑定）,needs_binding,数字人制作,音频/后期,2026-06-30T12:20,2026-06-30T06:20,2026-07-01T12:20,数字人导师：下一扇门,数字人口播视频；中文字幕；金色关键词；课程/审计CTA,storyboard_ready_render_pending,完播率>30%，私信/线索>=3，脚本可复用,课程导览试听和机构演示预约,scheduled,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day30_digital_human
