id,day,channel,title,hook,caption,cta,tags,creative_brief,landing_url,publish_status
day11_douyin,11,douyin,你缺的不是目标，是见证,没人看见的承诺，很容易被旧自己取消。,"没人看见的承诺，很容易被旧自己取消。

说明见证人机制：不是监督你变完美，而是看见你有没有做出承诺动作。给出例子：我今天完成了拒绝一次不合理要求，逃避理由是____，现实反馈是____。

进入窄门，给你的训练添加一个见证人。

#见证人 #成长系统 #自律 #窄门",进入窄门，给你的训练添加一个见证人。,见证人 成长系统 自律 窄门,故事化口播，结尾放行动模板。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day11_douyin,ready_to_publish
day12_digital_human,12,digital_human,数字人导师：把目标切到无法推脱,目标越大，越容易继续不动。,"目标越大，越容易继续不动。

不要说我要改变人生。说：今晚10点前，我只打开课程，听3分钟音频，写下一个问题。窄门不是宏大口号，是一个无法继续推脱的小动作。

今天从一条3分钟课程音频开始。

#最小行动 #数字人导师 #音频课程",今天从一条3分钟课程音频开始。,最小行动 数字人导师 音频课程,桌面场景，数字人像私人教练。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day12_digital_human,ready_to_publish
day13_xiaohongshu,13,xiaohongshu,100门课程怎么学：不要从感兴趣开始，从最痛的地方开始,成长课程不是购物车，不能只选让你舒服的。,"成长课程不是购物车，不能只选让你舒服的。

如果你卡在拖延，从回避解剖和行为重塑开始；卡在关系，从关系镜像和边界语言开始；卡在事业，从系统思维和职业杠杆开始。

去课程库按你的窄门方向选第一门课。

#课程体系 #学习路径 #窄门 #自我觉知",去课程库按你的窄门方向选第一门课。,课程体系 学习路径 窄门 自我觉知,100门课程路径图。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day13_xiaohongshu,ready_to_publish
day14_douyin,14,douyin,3句话拆掉拖延的伪装,拖延最会把自己伪装成理性。,"拖延最会把自己伪装成理性。

第一句：我不是没时间，是没把它当优先级。第二句：我不是没准备好，是害怕失败后不能解释。第三句：我不是不知道怎么做，是不愿意承受开始的不适。

如果刺中了，去做一次审计。

#拖延 #执行力 #自我觉察 #窄门",如果刺中了，去做一次审计。,拖延 执行力 自我觉察 窄门,三连击字幕，节奏快但不吼叫。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day14_douyin,ready_to_publish
day15_digital_human,15,digital_human,数字人导师：关系里的窄门,你以为你在维持和平，其实可能在积累怨气。,"你以为你在维持和平，其实可能在积累怨气。

今天的练习：选一个你一直不敢表达的小需要，用一句不攻击的话说出来：我需要____，如果可以，我希望____。真实表达不是伤害关系，是停止表演。

进入关系真实课程路径。

#真实表达 #关系 #数字人宣传",进入关系真实课程路径。,真实表达 关系 数字人宣传,温和但坚定的口播。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day15_digital_human,ready_to_publish
day16_xiaohongshu,16,xiaohongshu,别再问怎么坚持，先问你为什么总想逃,坚持不是起点，看见逃避才是起点。,"坚持不是起点，看见逃避才是起点。

很多计划失败，不是计划不够好，而是没有处理逃避机制。窄门的方法是：先看见回避，再命名它，再做一个小动作，再找人见证。

复制四步：看见-命名-行动-见证。

#坚持 #自律 #行动训练 #窄门",复制四步：看见-命名-行动-见证。,坚持 自律 行动训练 窄门,四步流程图。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day16_xiaohongshu,ready_to_publish
day17_douyin,17,douyin,为什么你听了很多课，还是没有变,因为你把课程当知识，没有把课程当训练。,"因为你把课程当知识，没有把课程当训练。

知识消费让人感觉自己在进步，训练会留下现实证据。窄门课程每一门都要回答：我看见了什么旧模式？我愿意承受哪一点不舒服？我今天做了什么？

主页有100门课程，但请只选你最需要面对的一门。

#知识焦虑 #课程 #行动证据",主页有100门课程，但请只选你最需要面对的一门。,知识焦虑 课程 行动证据,对比画面：收藏夹 vs 行动记录。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day17_douyin,ready_to_publish
day18_digital_human,18,digital_human,数字人导师：事业里的窄门,你不是没有机会，你可能没有系统。,"你不是没有机会，你可能没有系统。

如果你一直忙但没有推进，今天不要加任务，先画系统：输入是什么，输出是什么，卡点在哪里，哪个动作最有杠杆。努力不等于进展。

打开事业系统课程路径。

#事业成长 #系统思维 #数字人",打开事业系统课程路径。,事业成长 系统思维 数字人,白板风数字人，旁边显示系统图。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day18_digital_human,ready_to_publish
day19_xiaohongshu,19,xiaohongshu,写给总是自我怀疑的人：你需要的不是更多肯定,你需要的是一个可以验证自己的行动证据。,"你需要的是一个可以验证自己的行动证据。

自信不是说服自己很好，而是不断看见：我做到了一个小承诺。今天把目标降到最低，然后完成它。

从30天训练第1天开始，不需要等状态。

#自我怀疑 #自信 #行动证据 #窄门",从30天训练第1天开始，不需要等状态。,自我怀疑 自信 行动证据 窄门,信纸风长图，结尾行动模板。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day19_xiaohongshu,ready_to_publish
day20_douyin,20,douyin,今天别立Flag，立证据,Flag让别人看见你的热血，证据让你看见自己的改变。,"Flag让别人看见你的热血，证据让你看见自己的改变。

不要说我要早睡早起。说：今晚23:00前手机放到客厅，明早记录醒来的第一句话。窄门训练只相信发生过的动作。

加入7天窄门挑战。

#Flag #行动力 #挑战 #窄门",加入7天窄门挑战。,Flag 行动力 挑战 窄门,轻节奏口播，结尾固定挑战海报。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day20_douyin,ready_to_publish
day21_digital_human,21,digital_human,数字人导师：你不是情绪太多，是语言太少,说不清的情绪，最容易变成攻击或沉默。,"说不清的情绪，最容易变成攻击或沉默。

今天练习情绪颗粒度：把“烦”拆成失望、羞耻、恐惧、委屈、愤怒。命名越准确，行动越清晰。

听一条情绪阴影课程导览。

#情绪颗粒度 #数字人 #自我觉察",听一条情绪阴影课程导览。,情绪颗粒度 数字人 自我觉察,字幕浮现5个情绪词。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day21_digital_human,ready_to_publish
day22_xiaohongshu,22,xiaohongshu,窄门商业合作：给机构一套能落地的AI成长助教,课程结束后，学员真正需要的是持续练习和反馈。,"课程结束后，学员真正需要的是持续练习和反馈。

窄门机构版适合成长训练营、心理咨询机构、EAP和高校心理中心。它提供课程导览、行动训练、见证机制和数据复盘，让学员课后不掉线。

机构合作可预约演示。

#机构合作 #AI助教 #EAP #成长训练营",机构合作可预约演示。,机构合作 AI助教 EAP 成长训练营,B2B方案海报。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day22_xiaohongshu,ready_to_publish
day23_douyin,23,douyin,给培训机构的一句话,学员不是缺一堂更燃的课，而是缺课后的行动系统。,"学员不是缺一堂更燃的课，而是缺课后的行动系统。

介绍机构合作：学员用AI审计找到卡点，用30天训练留下行动证据，机构看到进度与反馈。不是替代老师，是延长课程价值。

主页预约机构合作演示。

#机构合作 #培训机构 #AI工具 #课程转化",主页预约机构合作演示。,机构合作 培训机构 AI工具 课程转化,面向镜头，语气专业。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day23_douyin,ready_to_publish
day24_digital_human,24,digital_human,数字人机构版口播,如果你的课程很有价值，别让学员在课后断掉。,"如果你的课程很有价值，别让学员在课后断掉。

窄门可以成为你的AI课后助教：每天追问、提醒行动、记录证据、支持见证。老师负责点燃，系统负责陪跑。

预约机构演示。

#数字人销售 #机构版 #AI助教",预约机构演示。,数字人销售 机构版 AI助教,商务数字人，背景为课程后台。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day24_digital_human,ready_to_publish
day25_xiaohongshu,25,xiaohongshu,我用4步复盘一次失败：不再自责，而是升级系统,失败不是身份判决，是系统反馈。,"失败不是身份判决，是系统反馈。

1. 事实发生了什么。2. 我逃避了什么。3. 哪个系统没有支撑我。4. 下一次最小调整是什么。窄门训练不是让你更会骂自己。

收藏这4步，今晚复盘一次小失败。

#失败复盘 #反脆弱 #系统思维 #窄门",收藏这4步，今晚复盘一次小失败。,失败复盘 反脆弱 系统思维 窄门,复盘模板图。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day25_xiaohongshu,ready_to_publish
day26_douyin,26,douyin,你不是玻璃心，你缺少复盘结构,没有结构的反思，很容易变成自我攻击。,"没有结构的反思，很容易变成自我攻击。

演示窄门复盘：事实、解释、情绪、行动、见证。把“我太差了”改成“我在哪个环节退回旧模式”。

平台里有30天训练记录表。

#复盘 #情绪管理 #成长 #窄门",平台里有30天训练记录表。,复盘 情绪管理 成长 窄门,案例拆解，屏幕录制+口播。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day26_douyin,ready_to_publish
day27_digital_human,27,digital_human,数字人导师：给旧自己的告别,改变不是讨厌旧自己，而是不再让旧模式掌舵。,"改变不是讨厌旧自己，而是不再让旧模式掌舵。

今天写一句告别：谢谢你曾经保护我，但现在我不需要继续用____来保护自己了。我会用____替代它。

进入整合通道课程路径。

#身份转变 #数字人导师 #整合",进入整合通道课程路径。,身份转变 数字人导师 整合,低光慢节奏，适合夜间发布。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day27_digital_human,ready_to_publish
day28_xiaohongshu,28,xiaohongshu,30天窄门训练最终不是为了变强，而是变真,你不需要成为完美的人，你需要不再对自己撒谎。,"你不需要成为完美的人，你需要不再对自己撒谎。

30天后最重要的不是打卡数字，而是你是否能说出：我看见了哪个旧模式，我做了哪些动作，谁见证了我，下一扇门在哪里。

完成一次审计，找到你的下一扇门。

#30天挑战 #真实 #自我觉知 #窄门",完成一次审计，找到你的下一扇门。,30天挑战 真实 自我觉知 窄门,总结型长图。,https://narrowgatemind.top/?utm_source=xiaohongshu&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day28_xiaohongshu,ready_to_publish
day29_douyin,29,douyin,如果你只能问自己一个问题,我现在选择的，是宽门还是窄门？,"我现在选择的，是宽门还是窄门？

宽门通常更舒服、更好解释、更像别人期待。窄门通常更真实、更不舒服、更能带来改变。今天做决定前，问这一句。

把这句话设成你的行动提醒。

#窄门 #选择 #自我觉察",把这句话设成你的行动提醒。,窄门 选择 自我觉察,极简口播，最后停顿3秒。,https://narrowgatemind.top/?utm_source=douyin&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day29_douyin,ready_to_publish
day30_digital_human,30,digital_human,数字人导师：下一扇门,穿过一扇门，不代表旅程结束。,"穿过一扇门，不代表旅程结束。

你已经看见了一部分自己。现在的问题不是你有没有改变，而是你愿不愿意继续选择真实。下一扇门在哪里？从今天的一个动作开始。

进入窄门，开始下一轮30天训练。

#数字人 #30天训练 #下一扇门",进入窄门，开始下一轮30天训练。,数字人 30天训练 下一扇门,收束型品牌片，结尾出现平台名和网址。,https://narrowgatemind.top/?utm_source=digital_human&utm_medium=social&utm_campaign=narrowgate_launch_30d&utm_content=day30_digital_human,ready_to_publish
